winner_id

Match ID: 524964, Team ID : 180, Probabilité de l'équipe ID: 0.609168697127292
Match ID: 524965, Team ID : 2796, Probabilité de l'équipe ID: 0.7125107497332885
Match ID: 524968, Team ID : 1519, Probabilité de l'équipe ID: 0.9376967954367386
Match ID: 524970, Team ID : 2796, Probabilité de l'équipe ID: 0.6422656716356696
Match ID: 524971, Team ID : 180, Probabilité de l'équipe ID: 0.21716531745370546
Match ID: 524973, Team ID : 1521, Probabilité de l'équipe ID: 0.3401764218830452
Match ID: 524974, Team ID : 181, Probabilité de l'équipe ID: 0.27683518776357785
Match ID: 524975, Team ID : 120673, Probabilité de l'équipe ID: 0.572716389147042
Match ID: 524976, Team ID : 92, Probabilité de l'équipe ID: 0.9240395331049157
Match ID: 524978, Team ID : 181, Probabilité de l'équipe ID: 0.24807684152049464
Match ID: 524981, Team ID : 180, Probabilité de l'équipe ID: 0.18135880922901113
Match ID: 524983, Team ID : 181, Probabilité de l'équipe ID: 0.15210621258525733
Match ID: 524985, Team ID : 1519, Probabilité de l'équipe ID: 0.9386330741741886
Match ID: 524986, Team ID : 92, Probabilité de l'équipe ID: 0.5319011031604439
Match ID: 524988, Team ID : 1521, Probabilité de l'équipe ID: 0.3104608932388484
Match ID: 524989, Team ID : 179, Probabilité de l'équipe ID: 0.6799284705482739
Match ID: 524990, Team ID : 120673, Probabilité de l'équipe ID: 0.6623679585412823
Match ID: 524992, Team ID : 1521, Probabilité de l'équipe ID: 0.3602873291355898
Match ID: 524993, Team ID : 179, Probabilité de l'équipe ID: 0.6044198440468517
Match ID: 524995, Team ID : 2796, Probabilité de l'équipe ID: 0.5726695517047449
Match ID: 524996, Team ID : 2796, Probabilité de l'équipe ID: 0.6472621471315033
Match ID: 524997, Team ID : 2796, Probabilité de l'équipe ID: 0.5782199418435889
Match ID: 524998, Team ID : 180, Probabilité de l'équipe ID: 0.17954443163508937
Match ID: 524999, Team ID : 180, Probabilité de l'équipe ID: 0.1731294441914525
Match ID: 525000, Team ID : 179, Probabilité de l'équipe ID: 0.12207594330034395
Match ID: 525001, Team ID : 179, Probabilité de l'équipe ID: 0.6436203631976023
Match ID: 525004, Team ID : 181, Probabilité de l'équipe ID: 0.15305329136247744
Match ID: 525006, Team ID : 92, Probabilité de l'équipe ID: 0.7727587399937859
Match ID: 525008, Team ID : 120673, Probabilité de l'équipe ID: 0.6428812694867632
Match ID: 525009, Team ID : 2796, Probabilité de l'équipe ID: 0.5145720407377604
Match ID: 525010, Team ID : 1521, Probabilité de l'équipe ID: 0.32066450956595327
Match ID: 525011, Team ID : 1519, Probabilité de l'équipe ID: 0.9423088136576018
Match ID: 525012, Team ID : 2796, Probabilité de l'équipe ID: 0.697881999168153
Match ID: 525013, Team ID : 120673, Probabilité de l'équipe ID: 0.14834240162865883
Match ID: 525014, Team ID : 179, Probabilité de l'équipe ID: 0.3860853969239638
Match ID: 525015, Team ID : 180, Probabilité de l'équipe ID: 0.2104067028770833
Match ID: 525016, Team ID : 92, Probabilité de l'équipe ID: 0.731891682988106
Match ID: 525018, Team ID : 120673, Probabilité de l'équipe ID: 0.4638758238000169
Match ID: 525019, Team ID : 92, Probabilité de l'équipe ID: 0.7877925472688705
Match ID: 525021, Team ID : 1519, Probabilité de l'équipe ID: 0.5938271548995466
Match ID: 525022, Team ID : 180, Probabilité de l'équipe ID: 0.21591064006617167
Match ID: 525024, Team ID : 92, Probabilité de l'équipe ID: 0.5406650412154881
Match ID: 525026, Team ID : 179, Probabilité de l'équipe ID: 0.43449593928155805
Match ID: 525027, Team ID : 2796, Probabilité de l'équipe ID: 0.4844958147035713
Match ID: 525028, Team ID : 120673, Probabilité de l'équipe ID: 0.49600145852909605
Match ID: 525030, Team ID : 2796, Probabilité de l'équipe ID: 0.4748317365838325
Match ID: 525031, Team ID : 1519, Probabilité de l'équipe ID: 0.9446542157061781
Match ID: 525033, Team ID : 120673, Probabilité de l'équipe ID: 0.12289363462130429
Match ID: 525034, Team ID : 179, Probabilité de l'équipe ID: 0.28245429289127544
Match ID: 525035, Team ID : 92, Probabilité de l'équipe ID: 0.9096891746429548
Match ID: 525166, Team ID : 410, Probabilité de l'équipe ID: 0.05907861928223827
Match ID: 525167, Team ID : 408, Probabilité de l'équipe ID: 0.4629770783370282
Match ID: 525168, Team ID : 318, Probabilité de l'équipe ID: 0.9170155283393132
Match ID: 525169, Team ID : 1569, Probabilité de l'équipe ID: 0.06935926170140791
Match ID: 525170, Team ID : 652, Probabilité de l'équipe ID: 0.8109632723161182
Match ID: 525171, Team ID : 1568, Probabilité de l'équipe ID: 0.5044471731219563
Match ID: 525172, Team ID : 2574, Probabilité de l'équipe ID: 0.4757317819972523
Match ID: 525173, Team ID : 69, Probabilité de l'équipe ID: 0.061126158519905605
Match ID: 525174, Team ID : 318, Probabilité de l'équipe ID: 0.9204854856882163
Match ID: 525175, Team ID : 404, Probabilité de l'équipe ID: 0.08834462016374625
Match ID: 525176, Team ID : 2574, Probabilité de l'équipe ID: 0.4820094289177675
Match ID: 525177, Team ID : 652, Probabilité de l'équipe ID: 0.09968565982984148
Match ID: 525178, Team ID : 69, Probabilité de l'équipe ID: 0.9170775074017126
Match ID: 525179, Team ID : 1569, Probabilité de l'équipe ID: 0.2063541616553815
Match ID: 525180, Team ID : 1568, Probabilité de l'équipe ID: 0.7739772931900459
Match ID: 525181, Team ID : 410, Probabilité de l'équipe ID: 0.30653486684978837
Match ID: 525182, Team ID : 2574, Probabilité de l'équipe ID: 0.7706656052221832
Match ID: 525183, Team ID : 1569, Probabilité de l'équipe ID: 0.06886483108640719
Match ID: 525184, Team ID : 652, Probabilité de l'équipe ID: 0.3577469065138378
Match ID: 525185, Team ID : 404, Probabilité de l'équipe ID: 0.418751920646719
Match ID: 525186, Team ID : 1566, Probabilité de l'équipe ID: 0.7923043974942144
Match ID: 525187, Team ID : 1568, Probabilité de l'équipe ID: 0.5332890737190584
Match ID: 525188, Team ID : 410, Probabilité de l'équipe ID: 0.14373578946324359
Match ID: 525189, Team ID : 318, Probabilité de l'équipe ID: 0.9285338726074308
Match ID: 525190, Team ID : 60521, Probabilité de l'équipe ID: 0.9370061990419953
Match ID: 525191, Team ID : 2574, Probabilité de l'équipe ID: 0.938800752996315
Match ID: 525193, Team ID : 1566, Probabilité de l'équipe ID: 0.37402709371466797
Match ID: 525195, Team ID : 318, Probabilité de l'équipe ID: 0.25030278620095214
Match ID: 525202, Team ID : 60521, Probabilité de l'équipe ID: 0.9386235879262597
Match ID: 525211, Team ID : 404, Probabilité de l'équipe ID: 0.08739930512037279
Match ID: 525224, Team ID : 652, Probabilité de l'équipe ID: 0.9375610687205261
Match ID: 525225, Team ID : 1567, Probabilité de l'équipe ID: 0.10590459908818187
Match ID: 525226, Team ID : 411, Probabilité de l'équipe ID: 0.741921117205478
Match ID: 525233, Team ID : 1568, Probabilité de l'équipe ID: 0.816785011550286
Match ID: 525238, Team ID : 2574, Probabilité de l'équipe ID: 0.7785768932990775
Match ID: 525259, Team ID : 404, Probabilité de l'équipe ID: 0.41531513006684373
Match ID: 525270, Team ID : 120567, Probabilité de l'équipe ID: 0.19437636051038013
Match ID: 525466, Team ID : 60521, Probabilité de l'équipe ID: 0.9402729077000579
Match ID: 525474, Team ID : 411, Probabilité de l'équipe ID: 0.5041155878492171
Match ID: 525492, Team ID : 408, Probabilité de l'équipe ID: 0.45765451651284506
Match ID: 525506, Team ID : 410, Probabilité de l'équipe ID: 0.1425852556399503
