winner_id

Match ID: 524964, Team ID : 180, Win or loose : 1, Probabilité de l'équipe ID: 0.9508348622038101
Match ID: 524965, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.11949197308732958
Match ID: 524968, Team ID : 1519, Win or loose : 1, Probabilité de l'équipe ID: 0.9493550227975842
Match ID: 524970, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.19614853110349012
Match ID: 524971, Team ID : 180, Win or loose : 1, Probabilité de l'équipe ID: 0.8851257010094729
Match ID: 524973, Team ID : 1521, Win or loose : 1, Probabilité de l'équipe ID: 0.6673463702658078
Match ID: 524974, Team ID : 181, Win or loose : 1, Probabilité de l'équipe ID: 0.5754710929751097
Match ID: 524975, Team ID : 120673, Win or loose : 1, Probabilité de l'équipe ID: 0.7499249859676788
Match ID: 524976, Team ID : 92, Win or loose : 0, Probabilité de l'équipe ID: 0.1865778357628008
Match ID: 524978, Team ID : 181, Win or loose : 0, Probabilité de l'équipe ID: 0.05502886062505173
Match ID: 524981, Team ID : 180, Win or loose : 1, Probabilité de l'équipe ID: 0.6358782697090308
Match ID: 524983, Team ID : 181, Win or loose : 0, Probabilité de l'équipe ID: 0.05824006454114723
Match ID: 524985, Team ID : 1519, Win or loose : 0, Probabilité de l'équipe ID: 0.2785043075219958
Match ID: 524986, Team ID : 92, Win or loose : 0, Probabilité de l'équipe ID: 0.051470289400992505
Match ID: 524988, Team ID : 1521, Win or loose : 1, Probabilité de l'équipe ID: 0.9523233407894107
Match ID: 524989, Team ID : 179, Win or loose : 1, Probabilité de l'équipe ID: 0.7861666666805267
Match ID: 524990, Team ID : 120673, Win or loose : 0, Probabilité de l'équipe ID: 0.2949936066112473
Match ID: 524992, Team ID : 1521, Win or loose : 1, Probabilité de l'équipe ID: 0.6904260531409616
Match ID: 524993, Team ID : 179, Win or loose : 0, Probabilité de l'équipe ID: 0.3959655147908271
Match ID: 524995, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.20285512214953752
Match ID: 524996, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.4282044333127959
Match ID: 524997, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.05917490707020395
Match ID: 524998, Team ID : 180, Win or loose : 0, Probabilité de l'équipe ID: 0.20986485953907968
Match ID: 524999, Team ID : 180, Win or loose : 0, Probabilité de l'équipe ID: 0.2893812355757578
Match ID: 525000, Team ID : 179, Win or loose : 1, Probabilité de l'équipe ID: 0.9434047284487352
Match ID: 525001, Team ID : 179, Win or loose : 0, Probabilité de l'équipe ID: 0.33189798731737435
Match ID: 525004, Team ID : 181, Win or loose : 1, Probabilité de l'équipe ID: 0.9514756851037525
Match ID: 525006, Team ID : 92, Win or loose : 0, Probabilité de l'équipe ID: 0.4888271235857086
Match ID: 525008, Team ID : 120673, Win or loose : 0, Probabilité de l'équipe ID: 0.07149454425103284
Match ID: 525009, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.2620060764208217
Match ID: 525010, Team ID : 1521, Win or loose : 0, Probabilité de l'équipe ID: 0.16576658319704363
Match ID: 525011, Team ID : 1519, Win or loose : 0, Probabilité de l'équipe ID: 0.4611963504037616
Match ID: 525012, Team ID : 2796, Win or loose : 0, Probabilité de l'équipe ID: 0.3933478981920465
Match ID: 525013, Team ID : 120673, Win or loose : 1, Probabilité de l'équipe ID: 0.5461417629047611
Match ID: 525014, Team ID : 179, Win or loose : 1, Probabilité de l'équipe ID: 0.94914743941462
Match ID: 525015, Team ID : 180, Win or loose : 0, Probabilité de l'équipe ID: 0.06633740011365528
Match ID: 525016, Team ID : 92, Win or loose : 0, Probabilité de l'équipe ID: 0.053460793216461536
Match ID: 525018, Team ID : 120673, Win or loose : 0, Probabilité de l'équipe ID: 0.05253353103824693
Match ID: 525019, Team ID : 92, Win or loose : 1, Probabilité de l'équipe ID: 0.9445094712428185
Match ID: 525021, Team ID : 1519, Win or loose : 1, Probabilité de l'équipe ID: 0.9322594618729854
Match ID: 525022, Team ID : 180, Win or loose : 1, Probabilité de l'équipe ID: 0.9358852672804515
Match ID: 525024, Team ID : 92, Win or loose : 1, Probabilité de l'équipe ID: 0.9253055291531783
Match ID: 525026, Team ID : 179, Win or loose : 1, Probabilité de l'équipe ID: 0.9466963156686263
Match ID: 525027, Team ID : 2796, Win or loose : 1, Probabilité de l'équipe ID: 0.9491331222182021
Match ID: 525028, Team ID : 120673, Win or loose : 0, Probabilité de l'équipe ID: 0.33234759746481995
Match ID: 525030, Team ID : 2796, Win or loose : 1, Probabilité de l'équipe ID: 0.59378047540892
Match ID: 525031, Team ID : 1519, Win or loose : 1, Probabilité de l'équipe ID: 0.9467146863202528
Match ID: 525033, Team ID : 120673, Win or loose : 1, Probabilité de l'équipe ID: 0.9518782758334983
Match ID: 525034, Team ID : 179, Win or loose : 0, Probabilité de l'équipe ID: 0.4679526316911443
Match ID: 525035, Team ID : 92, Win or loose : 0, Probabilité de l'équipe ID: 0.2723711900679577
Match ID: 525166, Team ID : 410, Win or loose : 0, Probabilité de l'équipe ID: 0.05027686180134254
Match ID: 525167, Team ID : 408, Win or loose : 1, Probabilité de l'équipe ID: 0.8268378257971776
Match ID: 525168, Team ID : 318, Win or loose : 1, Probabilité de l'équipe ID: 0.8378445090582884
Match ID: 525169, Team ID : 1569, Win or loose : 0, Probabilité de l'équipe ID: 0.050601163231026945
Match ID: 525170, Team ID : 652, Win or loose : 0, Probabilité de l'équipe ID: 0.05755668816386171
Match ID: 525171, Team ID : 1568, Win or loose : 0, Probabilité de l'équipe ID: 0.3819361317112622
Match ID: 525172, Team ID : 2574, Win or loose : 0, Probabilité de l'équipe ID: 0.1916568829284429
Match ID: 525173, Team ID : 69, Win or loose : 1, Probabilité de l'équipe ID: 0.8503123576803919
Match ID: 525174, Team ID : 318, Win or loose : 1, Probabilité de l'équipe ID: 0.9506690559885993
Match ID: 525175, Team ID : 404, Win or loose : 1, Probabilité de l'équipe ID: 0.5814880862712242
Match ID: 525176, Team ID : 2574, Win or loose : 1, Probabilité de l'équipe ID: 0.5503405223637797
Match ID: 525177, Team ID : 652, Win or loose : 1, Probabilité de l'équipe ID: 0.7670446225111418
Match ID: 525178, Team ID : 69, Win or loose : 1, Probabilité de l'équipe ID: 0.9446092973973892
Match ID: 525179, Team ID : 1569, Win or loose : 1, Probabilité de l'équipe ID: 0.6141542331676736
Match ID: 525180, Team ID : 1568, Win or loose : 0, Probabilité de l'équipe ID: 0.4688841021410465
Match ID: 525181, Team ID : 410, Win or loose : 0, Probabilité de l'équipe ID: 0.08447849238591058
Match ID: 525182, Team ID : 2574, Win or loose : 1, Probabilité de l'équipe ID: 0.7349201895577437
Match ID: 525183, Team ID : 1569, Win or loose : 1, Probabilité de l'équipe ID: 0.9005199806302141
Match ID: 525184, Team ID : 652, Win or loose : 1, Probabilité de l'équipe ID: 0.9512610249698359
Match ID: 525185, Team ID : 404, Win or loose : 0, Probabilité de l'équipe ID: 0.053166827068664366
Match ID: 525186, Team ID : 1566, Win or loose : 1, Probabilité de l'équipe ID: 0.9382098612758625
Match ID: 525187, Team ID : 1568, Win or loose : 1, Probabilité de l'équipe ID: 0.639410191056608
Match ID: 525188, Team ID : 410, Win or loose : 0, Probabilité de l'équipe ID: 0.07205953517810064
Match ID: 525189, Team ID : 318, Win or loose : 1, Probabilité de l'équipe ID: 0.9530997756913109
Match ID: 525190, Team ID : 60521, Win or loose : 0, Probabilité de l'équipe ID: 0.059076666178239326
Match ID: 525191, Team ID : 2574, Win or loose : 1, Probabilité de l'équipe ID: 0.9524814128453759
Match ID: 525193, Team ID : 1566, Win or loose : 1, Probabilité de l'équipe ID: 0.9091546013836534
Match ID: 525195, Team ID : 318, Win or loose : 1, Probabilité de l'équipe ID: 0.9505077603178389
Match ID: 525202, Team ID : 60521, Win or loose : 1, Probabilité de l'équipe ID: 0.9380241298428643
Match ID: 525211, Team ID : 404, Win or loose : 0, Probabilité de l'équipe ID: 0.30999684436218755
Match ID: 525224, Team ID : 652, Win or loose : 1, Probabilité de l'équipe ID: 0.7492630439627569
Match ID: 525225, Team ID : 1567, Win or loose : 1, Probabilité de l'équipe ID: 0.5089953737784176
Match ID: 525226, Team ID : 411, Win or loose : 1, Probabilité de l'équipe ID: 0.9473938376939584
Match ID: 525233, Team ID : 1568, Win or loose : 1, Probabilité de l'équipe ID: 0.7644536261992798
Match ID: 525238, Team ID : 2574, Win or loose : 0, Probabilité de l'équipe ID: 0.07015452207232517
Match ID: 525259, Team ID : 404, Win or loose : 1, Probabilité de l'équipe ID: 0.6993253956721712
Match ID: 525270, Team ID : 120567, Win or loose : 1, Probabilité de l'équipe ID: 0.6634419737217516
Match ID: 525466, Team ID : 60521, Win or loose : 1, Probabilité de l'équipe ID: 0.9538598374251903
Match ID: 525474, Team ID : 411, Win or loose : 1, Probabilité de l'équipe ID: 0.659373426905954
Match ID: 525492, Team ID : 408, Win or loose : 0, Probabilité de l'équipe ID: 0.0551108539531656
Match ID: 525506, Team ID : 410, Win or loose : 1, Probabilité de l'équipe ID: 0.947424360784186
Match ID: 525534, Team ID : 74, Win or loose : 1, Probabilité de l'équipe ID: 0.9513005711353324
Match ID: 525538, Team ID : 2574, Win or loose : 1, Probabilité de l'équipe ID: 0.9517252000312002
Match ID: 525539, Team ID : 408, Win or loose : 1, Probabilité de l'équipe ID: 0.9532806649084874
Match ID: 525540, Team ID : 120567, Win or loose : 0, Probabilité de l'équipe ID: 0.055320225804605105
Match ID: 525541, Team ID : 1566, Win or loose : 0, Probabilité de l'équipe ID: 0.3394643981096924
Match ID: 525542, Team ID : 405, Win or loose : 1, Probabilité de l'équipe ID: 0.8834492227219286
Match ID: 525543, Team ID : 60521, Win or loose : 1, Probabilité de l'équipe ID: 0.895214879789561
Match ID: 525544, Team ID : 404, Win or loose : 1, Probabilité de l'équipe ID: 0.9521755761774221
